frame_idx,id,label,confidence,x1,y1,x2,y2,center_x,unity_x,unity_z
70,1,Bollard,0.169,954.7,712.4,1045.5,1174.8,1000.1,3.41,8.01
70,2,Bollard,0.112,417.2,642.3,583.3,1323.1,500.3,-0.29,7.12
76,1,Bollard,0.314,934.3,676.8,1041.7,1144.6,988.0,3.32,8.19
77,1,Bollard,0.273,926.3,691.5,1044.7,1161.8,985.5,3.3,8.08
77,2,Person,0.134,923.3,664.4,1042.4,1166.7,982.9,3.28,8.06
152,1,Person,0.26,835.9,545.5,1036.6,1101.5,936.2,2.93,8.44
153,1,Person,0.27,831.5,549.9,1036.5,1109.6,934.0,2.92,8.4
154,1,Person,0.174,833.5,524.8,1036.0,1108.6,934.7,2.92,8.4
154,2,Person,0.13,838.8,775.2,1030.0,1100.4,934.4,2.92,8.45
155,1,Person,0.302,842.8,527.3,1032.5,1096.0,937.6,2.95,8.48
156,1,Person,0.279,858.0,474.8,1034.7,1068.5,946.3,3.01,8.64
157,6,Person,0.409,860.3,470.6,1033.1,1050.8,946.7,3.01,8.74
158,6,Person,0.261,870.8,483.0,1036.2,1039.0,953.5,3.06,8.82
159,1,Person,0.155,892.3,449.0,1042.1,1032.0,967.2,3.16,8.86
160,1,Bollard,0.119,921.2,695.1,1038.7,1024.0,979.9,3.26,8.9
186,1,Person,0.126,840.0,660.9,1010.9,1035.5,925.4,2.85,8.84
197,1,Person,0.24,878.9,662.3,1036.5,1138.8,957.7,3.09,8.22
198,1,Person,0.29,924.0,649.0,1041.6,1091.2,982.8,3.28,8.5
247,1,Bollard,0.131,853.7,676.7,1037.0,1604.7,945.3,3.0,5.45
248,1,Bollard,0.114,872.2,649.8,1035.9,1572.1,954.0,3.07,5.64
259,1,Person,0.182,664.6,552.6,834.8,1007.9,749.7,1.55,9.0
268,1,Bollard,0.135,936.2,599.6,1041.9,1008.6,989.1,3.33,9.0
274,1,Person,0.101,761.2,536.1,966.5,1049.2,863.8,2.4,8.75
276,1,Person,0.146,817.5,529.2,1026.5,1065.1,922.0,2.83,8.66
281,1,Bollard,0.219,117.8,881.4,203.0,974.5,160.4,-2.81,9.2
287,1,Bollard,0.272,2.5,746.4,133.2,1379.2,67.8,-3.5,6.79
290,1,Person,0.12,811.0,489.2,1025.2,1088.6,918.1,2.8,8.52
291,1,Person,0.104,804.9,487.0,1027.0,1074.0,915.9,2.78,8.61
292,1,Person,0.182,773.7,483.3,1000.7,1070.8,887.2,2.57,8.63
295,1,Person,0.137,749.5,488.0,975.0,1091.3,862.3,2.39,8.5
296,1,Person,0.136,752.7,481.0,977.9,1091.3,865.3,2.41,8.5
317,1,Bollard,0.259,890.1,598.0,1036.8,1231.0,963.4,3.14,7.67
317,2,Person,0.121,703.4,697.5,769.4,823.8,736.4,1.45,10.1
318,1,Bollard,0.292,894.4,588.6,1038.9,1252.9,966.7,3.16,7.54
319,1,Bollard,0.267,897.3,567.2,1041.2,1252.1,969.2,3.18,7.55
320,1,Bollard,0.218,891.5,586.8,1039.7,1242.8,965.6,3.15,7.6
321,1,Bollard,0.252,892.8,561.1,1042.5,1231.3,967.6,3.17,7.67
324,1,Bike,0.14,907.4,574.3,1047.4,1240.1,977.4,3.24,7.62
324,2,Person,0.102,906.6,533.2,1043.8,1250.4,975.2,3.22,7.56
325,1,Bollard,0.291,882.4,573.9,1041.4,1272.7,961.9,3.13,7.42
326,1,Bollard,0.107,864.0,570.3,1035.4,1270.9,949.7,3.03,7.44
327,1,Bollard,0.198,893.0,526.0,1041.2,1250.4,967.1,3.16,7.56
335,1,Bollard,0.268,958.5,526.3,1043.6,944.2,1001.1,3.42,9.38
335,2,Bollard,0.265,626.4,822.4,755.5,1214.0,691.0,1.12,7.77
337,1,Bollard,0.175,672.9,815.5,798.3,1257.1,735.6,1.45,7.52
351,1,Person,0.125,458.0,690.4,561.2,949.5,509.6,-0.23,9.35
356,1,Person,0.323,403.0,651.1,516.8,925.9,459.9,-0.59,9.49
357,1,Person,0.106,388.0,611.9,505.2,907.5,446.6,-0.69,9.6
358,1,Person,0.179,375.3,612.5,495.9,904.6,435.6,-0.77,9.62
360,1,Person,0.209,357.2,616.7,477.5,914.2,417.3,-0.91,9.56
361,1,Person,0.166,346.9,605.5,472.1,906.7,409.5,-0.97,9.6
363,1,Bollard,0.207,48.3,885.7,192.8,1362.8,120.6,-3.11,6.89
363,2,Person,0.129,301.6,613.9,426.5,933.4,364.0,-1.3,9.44
364,21,Bollard,0.537,37.8,876.4,185.7,1364.8,111.7,-3.17,6.88
365,1,Bollard,0.252,26.1,814.4,172.2,1369.1,99.1,-3.27,6.85
366,21,Bollard,0.579,21.7,819.1,188.5,1373.5,105.1,-3.22,6.82
367,21,Bollard,0.617,17.4,807.0,188.8,1381.9,103.1,-3.24,6.77
368,1,Bollard,0.284,32.8,827.8,155.9,1387.5,94.4,-3.3,6.74
368,2,Bollard,0.126,687.8,606.3,831.6,1496.5,759.7,1.63,6.09
369,1,Bollard,0.354,35.6,883.3,131.5,1408.4,83.6,-3.38,6.62
370,1,Bollard,0.176,37.0,883.3,126.8,1401.0,81.9,-3.39,6.66
371,1,Bollard,0.295,35.6,876.5,122.4,1405.1,79.0,-3.42,6.64
372,1,Bollard,0.176,33.4,889.5,119.5,1425.5,76.4,-3.43,6.51
373,1,Bollard,0.102,682.8,673.3,844.3,1570.3,763.6,1.66,5.65
374,1,Bollard,0.131,689.3,655.9,849.7,1601.1,769.5,1.7,5.47
376,1,Person,0.117,207.9,645.0,354.7,1004.6,281.3,-1.92,9.02
377,1,Bollard,0.271,18.1,945.4,117.4,1351.5,67.8,-3.5,6.96
377,2,Person,0.214,203.6,643.1,344.1,1004.5,273.8,-1.97,9.02
377,3,Bollard,0.132,704.0,580.9,885.9,1671.7,794.9,1.89,5.05
378,1,Person,0.334,212.3,646.6,351.0,1010.3,281.6,-1.91,8.99
379,1,Person,0.367,233.3,636.6,368.5,1009.8,300.9,-1.77,8.99
379,2,Bollard,0.23,11.4,835.3,145.5,1531.1,78.4,-3.42,5.89
380,1,Person,0.157,252.8,641.0,388.8,1022.2,320.8,-1.62,8.92
381,1,Person,0.135,251.5,638.8,388.6,1024.3,320.1,-1.63,8.9
382,1,Person,0.298,246.1,629.2,385.1,1020.4,315.6,-1.66,8.93
383,1,Person,0.245,252.1,614.3,395.6,1013.8,323.8,-1.6,8.97
384,32,Person,0.421,264.3,601.0,410.5,1007.5,337.4,-1.5,9.0
385,32,Person,0.301,280.6,585.4,430.3,1001.2,355.5,-1.37,9.04
386,1,Person,0.228,307.9,587.1,460.7,1003.6,384.3,-1.15,9.03
387,32,Person,0.468,317.9,591.9,471.4,1017.9,394.7,-1.08,8.94
388,32,Person,0.225,329.3,599.6,486.0,1035.1,407.6,-0.98,8.84
389,32,Person,0.129,340.5,603.0,500.8,1048.4,420.7,-0.88,8.76
390,1,Bollard,0.438,47.0,996.4,227.4,1415.5,137.2,-2.98,6.57
390,2,Person,0.183,359.2,614.4,511.5,1042.7,435.4,-0.78,8.79
391,34,Bollard,0.505,56.8,991.8,238.4,1413.9,147.6,-2.91,6.58
391,32,Person,0.486,371.1,609.4,530.6,1054.1,450.8,-0.66,8.73
392,34,Bollard,0.544,54.8,993.4,238.8,1421.6,146.8,-2.91,6.54
392,32,Person,0.473,376.2,612.2,536.1,1058.3,456.2,-0.62,8.7
393,34,Bollard,0.585,51.1,1000.9,236.5,1433.7,143.8,-2.93,6.47
393,32,Person,0.398,371.6,618.9,533.5,1070.5,452.5,-0.65,8.63
394,32,Person,0.438,370.4,628.2,533.1,1081.8,451.8,-0.65,8.56
395,32,Person,0.425,374.1,635.3,537.9,1092.0,456.0,-0.62,8.5
395,34,Bollard,0.453,91.1,1113.1,228.3,1434.4,159.7,-2.82,6.46
396,32,Person,0.295,378.2,624.6,546.8,1095.0,462.5,-0.57,8.48
397,32,Person,0.519,376.7,597.1,549.4,1078.6,463.1,-0.57,8.58
398,32,Person,0.511,375.9,565.4,552.4,1057.6,464.2,-0.56,8.7
399,32,Person,0.54,388.1,546.0,566.8,1043.5,477.5,-0.46,8.79
400,1,Person,0.243,411.8,536.0,597.6,1043.7,504.7,-0.26,8.79
401,32,Person,0.326,421.0,545.3,606.9,1059.9,514.0,-0.19,8.69
402,32,Person,0.385,426.4,567.5,612.7,1080.8,519.5,-0.15,8.57
403,1,Person,0.261,406.5,589.3,607.0,1113.3,506.7,-0.25,8.37
404,32,Person,0.395,421.8,578.4,614.0,1108.2,517.9,-0.16,8.4
405,32,Person,0.243,430.4,568.1,628.0,1113.6,529.2,-0.08,8.37
406,32,Person,0.291,435.0,533.6,641.2,1101.9,538.1,-0.01,8.44
407,32,Person,0.531,442.1,505.8,652.5,1088.1,547.3,0.05,8.52
408,32,Person,0.117,443.6,502.5,653.4,1083.5,548.5,0.06,8.55
410,1,Person,0.246,415.3,502.2,629.9,1104.1,522.6,-0.13,8.43
411,32,Person,0.298,426.1,488.6,647.3,1101.3,536.7,-0.02,8.44
412,1,Person,0.21,416.2,472.0,645.0,1103.0,530.6,-0.07,8.43
421,1,Person,0.101,344.1,496.6,593.2,1234.1,468.6,-0.53,7.65
423,1,Person,0.198,382.4,449.0,661.1,1233.4,521.8,-0.14,7.66
424,1,Person,0.151,385.9,463.3,664.2,1268.5,525.0,-0.11,7.45
435,1,Person,0.327,276.7,342.1,600.0,1505.9,438.4,-0.75,6.04
435,2,Bollard,0.171,386.3,926.1,577.4,1487.5,481.8,-0.43,6.15
436,1,Bollard,0.159,373.5,951.7,565.5,1503.9,469.5,-0.52,6.05
437,1,Bollard,0.588,344.3,920.1,523.7,1526.4,434.0,-0.79,5.91
438,1,Bollard,0.434,304.9,925.6,496.2,1556.8,400.5,-1.03,5.73
439,1,Bollard,0.121,258.4,942.0,482.2,1586.1,370.3,-1.26,5.56
475,1,Bollard,0.149,94.7,776.9,251.1,1152.1,172.9,-2.72,8.14
534,1,Bollard,0.138,149.0,1078.5,216.0,1184.5,182.5,-2.65,7.95
541,1,Person,0.131,101.1,595.8,305.5,1163.0,203.3,-2.49,8.08
557,1,Bollard,0.124,170.1,833.5,340.6,1153.5,255.4,-2.11,8.13
564,1,Bollard,0.143,200.4,863.9,315.6,1150.9,258.0,-2.09,8.15
567,1,Person,0.165,185.5,629.6,379.9,1166.1,282.7,-1.91,8.06
576,1,Bollard,0.141,134.9,798.8,286.7,1094.3,210.8,-2.44,8.49
577,1,Bollard,0.111,128.9,791.4,284.6,1098.4,206.7,-2.47,8.46
578,1,Bollard,0.122,118.5,783.4,278.2,1103.1,198.3,-2.53,8.43
591,1,Bollard,0.136,106.8,907.3,284.3,1195.3,195.5,-2.55,7.89
592,1,Bollard,0.238,117.8,871.6,296.8,1185.3,207.3,-2.46,7.94
593,1,Person,0.109,109.3,660.5,305.2,1172.9,207.2,-2.46,8.02
595,1,Bollard,0.129,146.4,844.0,274.6,1139.6,210.5,-2.44,8.22
598,1,Bollard,0.107,200.0,847.6,322.6,1136.5,261.3,-2.06,8.24
604,1,Person,0.122,238.3,602.2,414.4,1102.6,326.3,-1.58,8.44
605,1,Person,0.306,240.6,583.0,416.1,1086.2,328.3,-1.57,8.53
606,1,Person,0.148,235.6,548.2,409.0,1067.6,322.3,-1.61,8.65
608,1,Person,0.107,239.7,586.4,411.5,1079.0,325.6,-1.59,8.58
609,1,Person,0.179,241.1,587.3,403.5,1085.2,322.3,-1.61,8.54
614,1,Bollard,0.106,207.5,833.4,335.7,1119.6,271.6,-1.99,8.34
623,1,Person,0.335,136.6,702.3,313.6,1192.0,225.1,-2.33,7.9
625,1,Person,0.258,115.6,688.2,298.0,1191.5,206.8,-2.47,7.91
626,47,Person,0.367,112.9,665.3,297.7,1175.3,205.3,-2.48,8.0
627,47,Bollard,0.104,143.7,823.4,272.8,1176.5,208.3,-2.46,8.0
628,1,Person,0.208,115.4,715.7,291.8,1204.2,203.6,-2.49,7.83
628,2,Bollard,0.138,118.7,794.9,286.9,1204.1,202.8,-2.5,7.83
629,1,Person,0.308,111.7,718.2,288.5,1218.7,200.1,-2.52,7.75
629,2,Bollard,0.135,114.8,760.8,281.2,1216.2,198.0,-2.53,7.76
630,1,Person,0.273,94.1,712.0,270.5,1226.0,182.3,-2.65,7.7
630,2,Bollard,0.248,103.8,927.6,251.8,1225.2,177.8,-2.68,7.71
631,51,Bollard,0.358,93.3,915.7,247.4,1225.8,170.3,-2.74,7.7
632,51,Bollard,0.263,106.1,915.2,253.9,1212.5,180.0,-2.67,7.78
633,1,Bollard,0.121,219.9,864.8,281.2,1129.2,250.6,-2.14,8.28
634,1,Bollard,0.292,224.6,868.5,289.2,1132.5,256.9,-2.1,8.26
635,1,Person,0.4,137.4,658.5,298.4,1183.5,217.9,-2.39,7.96
636,51,Person,0.514,96.0,676.4,340.0,1177.1,218.0,-2.39,7.99
637,1,Person,0.288,143.7,663.7,311.9,1168.1,227.8,-2.31,8.05
638,1,Person,0.218,159.4,656.5,327.8,1157.4,243.6,-2.2,8.11
639,1,Person,0.108,170.5,681.0,334.2,1158.9,252.3,-2.13,8.1
641,1,Person,0.101,171.0,673.7,332.9,1163.1,251.9,-2.13,8.08
650,1,Person,0.205,194.8,644.7,357.1,1145.6,275.9,-1.96,8.18
657,1,Person,0.104,128.2,593.7,303.1,1112.4,215.6,-2.4,8.38
660,1,Bollard,0.278,365.2,801.0,406.1,886.0,385.6,-1.14,9.73
662,1,Bollard,0.135,90.8,834.9,238.0,1149.8,164.4,-2.78,8.16
664,1,Bollard,0.144,105.5,889.7,233.0,1187.6,169.2,-2.75,7.93
665,1,Bollard,0.192,107.1,896.2,230.9,1188.8,169.0,-2.75,7.92
666,1,Bollard,0.137,102.2,899.3,220.0,1199.2,161.1,-2.81,7.86
667,1,Bollard,0.177,364.1,867.8,405.4,951.1,384.8,-1.15,9.34
667,2,Bollard,0.135,106.3,918.2,214.9,1203.2,160.6,-2.81,7.84
668,1,Person,0.14,105.7,727.1,287.0,1161.8,196.4,-2.55,8.08
669,1,Person,0.117,109.9,727.0,286.2,1180.0,198.0,-2.53,7.98
677,1,Person,0.258,90.5,683.5,255.2,1150.8,172.9,-2.72,8.15
678,1,Person,0.12,93.9,697.4,253.0,1150.1,173.4,-2.72,8.15
680,1,Bollard,0.2,127.0,870.6,269.1,1152.4,198.1,-2.53,8.14
694,1,Person,0.139,140.8,685.2,298.4,1132.3,219.6,-2.37,8.26
695,1,Person,0.134,129.2,665.2,294.9,1120.4,212.1,-2.43,8.33
695,2,Bollard,0.108,134.6,835.1,288.6,1119.8,211.6,-2.43,8.33
697,1,Bollard,0.173,122.8,825.7,277.4,1107.9,200.1,-2.52,8.41
697,2,Bollard,0.119,373.3,807.7,405.4,895.1,389.4,-1.12,9.67
698,1,Bollard,0.183,115.7,844.4,250.4,1115.6,183.0,-2.64,8.36
699,1,Bollard,0.244,109.7,851.9,247.1,1128.8,178.4,-2.68,8.28
700,1,Bollard,0.25,108.8,857.5,254.2,1143.8,181.5,-2.66,8.19
701,1,Bollard,0.186,101.0,878.2,245.2,1167.2,173.1,-2.72,8.05
701,2,Person,0.146,94.0,709.3,266.3,1162.8,180.1,-2.67,8.08
702,1,Bollard,0.266,107.2,898.0,246.2,1185.1,176.7,-2.69,7.95
704,1,Bollard,0.103,116.2,888.2,257.0,1170.6,186.6,-2.62,8.03
710,1,Person,0.193,132.6,745.5,297.6,1195.6,215.1,-2.41,7.88
711,1,Person,0.154,138.3,762.4,298.2,1184.8,218.3,-2.38,7.95
711,2,Bollard,0.151,149.0,885.9,298.0,1178.4,223.5,-2.34,7.99
715,1,Bollard,0.182,187.3,890.4,323.6,1169.2,255.4,-2.11,8.04
716,1,Bollard,0.206,199.8,886.4,334.8,1168.1,267.3,-2.02,8.05
720,1,Bollard,0.123,204.2,873.1,334.9,1167.5,269.6,-2.0,8.05
728,1,Bollard,0.106,224.2,845.0,372.2,1119.9,298.2,-1.79,8.33
731,1,Bollard,0.13,212.9,800.5,371.7,1085.6,292.3,-1.83,8.54
733,1,Bollard,0.266,204.5,828.8,354.6,1082.3,279.6,-1.93,8.56
736,1,Person,0.115,138.7,636.2,316.6,1088.2,227.6,-2.31,8.52
737,1,Person,0.153,136.4,636.8,311.4,1083.5,223.9,-2.34,8.55
738,1,Bollard,0.104,143.8,781.2,293.5,1085.2,218.6,-2.38,8.54
740,1,Bollard,0.185,313.7,782.6,358.5,903.3,336.1,-1.51,9.62
741,1,Bollard,0.111,298.7,810.4,346.2,923.0,322.5,-1.61,9.51
741,2,Person,0.105,84.5,669.7,251.4,1108.2,167.9,-2.76,8.4
741,3,Bollard,0.102,95.6,781.8,245.4,1115.5,170.5,-2.74,8.36
743,1,Person,0.145,101.1,717.5,269.9,1138.1,185.5,-2.63,8.23
746,1,Person,0.318,87.6,704.4,261.5,1129.9,174.5,-2.71,8.27
747,1,Person,0.256,96.1,725.8,266.0,1146.2,181.0,-2.66,8.18
747,2,Bollard,0.146,311.6,861.4,359.2,981.7,335.4,-1.52,9.16
748,1,Bollard,0.124,104.3,773.1,273.7,1163.2,189.0,-2.6,8.08
748,2,Bollard,0.118,313.9,875.5,361.5,995.0,337.7,-1.5,9.08
749,1,Bollard,0.304,301.4,868.1,356.3,1013.8,328.9,-1.56,8.97
749,2,Bollard,0.201,93.3,770.2,261.1,1182.1,177.2,-2.69,7.96
749,3,Bollard,0.199,572.4,875.2,610.9,1005.1,591.7,0.38,9.02
749,4,Person,0.161,86.9,756.1,262.7,1181.8,174.8,-2.71,7.97
752,1,Bollard,0.174,312.8,900.8,359.7,1030.2,336.2,-1.51,8.87
753,1,Bollard,0.225,324.3,904.9,365.6,1021.4,345.0,-1.44,8.92
754,1,Person,0.163,123.0,759.5,295.9,1182.2,209.5,-2.45,7.96
754,2,Bollard,0.128,128.0,783.9,294.0,1181.4,211.0,-2.44,7.97
755,1,Person,0.42,143.0,761.8,304.4,1169.3,223.7,-2.34,8.04
755,2,Bollard,0.167,349.6,878.2,400.0,999.0,374.8,-1.22,9.05
756,69,Person,0.369,147.6,769.6,305.7,1168.9,226.6,-2.32,8.04
757,69,Person,0.258,155.7,766.3,311.7,1160.3,233.7,-2.27,8.09
758,1,Bollard,0.248,372.9,855.7,416.4,984.4,394.6,-1.08,9.14
759,1,Bollard,0.17,378.4,850.1,422.2,978.6,400.3,-1.03,9.18
762,69,Person,0.455,195.5,695.8,357.4,1105.7,276.5,-1.95,8.42
763,69,Person,0.418,206.1,705.7,366.5,1111.5,286.3,-1.88,8.38
764,69,Person,0.545,205.7,721.2,366.4,1127.8,286.1,-1.88,8.29
765,69,Person,0.128,201.1,737.0,359.2,1137.3,280.1,-1.92,8.23
766,69,Bollard,0.14,218.3,838.4,338.7,1133.8,278.5,-1.94,8.25
767,1,Person,0.19,201.8,726.4,360.6,1135.1,281.2,-1.92,8.24
768,1,Person,0.147,214.1,737.5,370.6,1136.1,292.4,-1.83,8.24
768,2,Bollard,0.134,414.7,864.4,460.5,1001.7,437.6,-0.76,9.04
768,3,Bollard,0.102,224.9,857.8,358.8,1136.2,291.8,-1.84,8.24
769,1,Bollard,0.15,226.5,871.8,351.3,1129.5,288.9,-1.86,8.28
770,1,Person,0.193,200.1,716.8,354.3,1126.1,277.2,-1.95,8.3
770,2,Bollard,0.123,208.2,769.4,340.3,1126.7,274.2,-1.97,8.29
771,1,Bollard,0.384,372.6,845.5,423.4,984.7,398.0,-1.05,9.14
771,2,Bollard,0.111,173.2,848.0,309.2,1132.4,241.2,-2.21,8.26
772,1,Person,0.199,150.4,739.7,305.6,1133.3,228.0,-2.31,8.25
772,2,Bollard,0.128,352.0,851.1,400.8,988.3,376.4,-1.21,9.12
773,1,Person,0.122,140.1,726.5,297.0,1130.6,218.5,-2.38,8.27
774,1,Person,0.24,130.6,719.4,290.7,1132.5,210.7,-2.44,8.26
774,2,Bollard,0.223,327.4,838.0,377.7,989.9,352.6,-1.39,9.11
775,1,Bollard,0.306,310.6,849.0,362.5,988.9,336.6,-1.51,9.11
775,2,Person,0.129,110.6,725.3,270.9,1124.8,190.8,-2.59,8.3
776,1,Person,0.334,99.3,720.9,252.2,1122.7,175.8,-2.7,8.32
777,1,Person,0.29,89.3,712.8,244.7,1113.6,167.0,-2.76,8.37
778,79,Person,0.37,83.8,718.8,236.5,1112.3,160.1,-2.81,8.38
779,79,Person,0.437,77.0,706.5,234.9,1113.3,156.0,-2.84,8.37
780,1,Bollard,0.226,267.0,855.7,319.4,997.3,293.2,-1.83,9.06
781,1,Bollard,0.415,247.4,879.9,299.8,1004.0,273.6,-1.97,9.02
781,2,Bollard,0.205,539.9,854.6,591.7,1002.4,565.8,0.19,9.03
782,1,Bollard,0.339,239.1,883.6,292.4,1023.4,265.7,-2.03,8.91
782,2,Bollard,0.228,47.2,745.0,195.4,1140.1,121.3,-3.1,8.21
782,3,Person,0.113,42.9,731.4,198.8,1140.5,120.8,-3.1,8.21
783,1,Bollard,0.368,246.5,914.3,294.9,1037.6,270.7,-1.99,8.82
783,2,Bollard,0.228,55.0,831.3,198.5,1157.4,126.7,-3.06,8.11
784,85,Bollard,0.447,250.8,911.4,301.6,1040.7,276.2,-1.95,8.81
785,85,Bollard,0.61,249.7,884.0,304.2,1022.9,276.9,-1.95,8.91
786,85,Bollard,0.429,245.7,876.6,297.9,1009.2,271.8,-1.99,8.99
787,85,Bollard,0.404,235.3,862.0,295.2,1015.2,265.3,-2.04,8.96
787,79,Person,0.527,40.4,740.8,197.5,1145.0,118.9,-3.12,8.18
788,1,Bollard,0.336,249.6,887.3,301.6,1036.9,275.6,-1.96,8.83
792,1,Person,0.126,79.5,753.2,244.1,1146.0,161.8,-2.8,8.18
794,1,Bollard,0.284,323.0,868.1,374.2,1009.0,348.6,-1.42,8.99
798,1,Bollard,0.113,368.4,864.6,419.7,1001.9,394.0,-1.08,9.04
799,1,Bollard,0.267,379.9,877.7,434.8,1013.3,407.4,-0.98,8.97
799,2,Bollard,0.139,918.3,855.7,1035.4,1377.7,976.9,3.24,6.8
800,1,Bollard,0.237,378.5,883.1,431.9,1016.9,405.2,-1.0,8.95
800,2,Bollard,0.123,922.2,980.5,1036.5,1387.2,979.4,3.25,6.74
804,1,Bollard,0.255,397.1,890.3,450.3,1036.7,423.7,-0.86,8.83
805,1,Bollard,0.223,405.2,878.1,459.7,1031.6,432.4,-0.8,8.86
807,1,Bollard,0.186,381.2,905.8,433.3,1048.9,407.3,-0.98,8.76
808,1,Bollard,0.441,370.3,892.2,425.6,1053.8,397.9,-1.05,8.73
808,2,Bollard,0.103,689.1,904.5,753.2,1065.8,721.2,1.34,8.66
809,1,Bollard,0.101,357.2,898.4,409.2,1046.0,383.2,-1.16,8.77
810,1,Bollard,0.273,333.9,869.0,391.4,1040.9,362.7,-1.31,8.8
810,2,Bollard,0.245,659.9,879.9,724.6,1044.5,692.2,1.13,8.78
811,1,Bollard,0.422,309.6,872.7,363.1,1031.9,336.3,-1.51,8.86
811,2,Bollard,0.193,919.4,1078.3,1037.8,1456.3,978.6,3.25,6.33
812,1,Bollard,0.131,299.4,867.2,353.3,1013.8,326.4,-1.58,8.97
813,1,Bollard,0.323,901.1,816.9,1033.6,1449.6,967.3,3.17,6.37
813,2,Person,0.22,88.5,670.1,253.2,1069.9,170.8,-2.73,8.63
814,98,Bollard,0.43,895.9,795.1,1033.8,1453.3,964.8,3.15,6.35
815,98,Bollard,0.388,894.5,801.4,1033.1,1462.5,963.8,3.14,6.29
816,98,Bollard,0.352,892.0,797.6,1031.9,1464.3,962.0,3.13,6.28
817,98,Bollard,0.316,887.3,782.6,1031.7,1469.2,959.5,3.11,6.26
818,101,Bollard,0.502,218.6,807.6,282.7,1016.2,250.7,-2.14,8.95
819,98,Bollard,0.249,879.4,750.3,1032.1,1474.6,955.8,3.08,6.22
820,98,Bollard,0.275,879.2,741.3,1035.4,1483.5,957.3,3.09,6.17
821,98,Bollard,0.365,884.9,789.7,1033.3,1493.7,959.1,3.1,6.11
821,103,Bollard,0.428,204.9,844.1,263.5,1041.2,234.2,-2.27,8.8
822,98,Bollard,0.348,888.7,829.4,1034.7,1522.6,961.7,3.12,5.94
822,103,Bollard,0.122,205.4,882.4,259.0,1062.9,232.2,-2.28,8.67
823,98,Bollard,0.412,895.6,867.1,1037.8,1545.5,966.7,3.16,5.8
823,103,Bollard,0.447,203.9,887.5,260.5,1077.2,232.2,-2.28,8.59
824,98,Bollard,0.451,900.3,889.5,1038.8,1553.4,969.5,3.18,5.75
824,103,Bollard,0.149,199.3,884.9,253.6,1065.4,226.4,-2.32,8.66
825,98,Bollard,0.475,898.4,887.7,1037.7,1556.6,968.1,3.17,5.73
825,103,Bollard,0.453,186.2,857.3,245.7,1053.8,215.9,-2.4,8.73
